PERMNO,date,TICKER,COMNAM,BID
14593,01/03/2007,AAPL,APPLE COMPUTER INC,83.76000
14593,01/04/2007,AAPL,APPLE COMPUTER INC,85.62000
14593,01/05/2007,AAPL,APPLE COMPUTER INC,85.15000
14593,01/08/2007,AAPL,APPLE COMPUTER INC,85.46000
14593,01/09/2007,AAPL,APPLE COMPUTER INC,92.53000
14593,01/10/2007,AAPL,APPLE COMPUTER INC,97.15000
14593,01/11/2007,AAPL,APPLE INC,95.85000
14593,01/12/2007,AAPL,APPLE INC,94.67000
14593,01/16/2007,AAPL,APPLE INC,97.05000
14593,01/17/2007,AAPL,APPLE INC,95.00000
14593,01/18/2007,AAPL,APPLE INC,89.07000
14593,01/19/2007,AAPL,APPLE INC,88.49000
14593,01/22/2007,AAPL,APPLE INC,86.77000
14593,01/23/2007,AAPL,APPLE INC,85.69000
14593,01/24/2007,AAPL,APPLE INC,86.69000
14593,01/25/2007,AAPL,APPLE INC,86.25000
14593,01/26/2007,AAPL,APPLE INC,85.43000
14593,01/29/2007,AAPL,APPLE INC,85.93000
14593,01/30/2007,AAPL,APPLE INC,85.55000
14593,01/31/2007,AAPL,APPLE INC,85.77000
14593,02/01/2007,AAPL,APPLE INC,84.73000
14593,02/02/2007,AAPL,APPLE INC,84.78000
14593,02/05/2007,AAPL,APPLE INC,83.95000
14593,02/06/2007,AAPL,APPLE INC,84.08000
14593,02/07/2007,AAPL,APPLE INC,86.14000
14593,02/08/2007,AAPL,APPLE INC,86.16000
14593,02/09/2007,AAPL,APPLE INC,83.27000
14593,02/12/2007,AAPL,APPLE INC,84.93000
14593,02/13/2007,AAPL,APPLE INC,84.63000
14593,02/14/2007,AAPL,APPLE INC,85.24000
14593,02/15/2007,AAPL,APPLE INC,85.20000
14593,02/16/2007,AAPL,APPLE INC,84.81000
14593,02/20/2007,AAPL,APPLE INC,85.88000
14593,02/21/2007,AAPL,APPLE INC,89.19000
14593,02/22/2007,AAPL,APPLE INC,89.48000
14593,02/23/2007,AAPL,APPLE INC,89.00000
14593,02/26/2007,AAPL,APPLE INC,88.51000
14593,02/27/2007,AAPL,APPLE INC,84.45000
14593,02/28/2007,AAPL,APPLE INC,84.56000
14593,03/01/2007,AAPL,APPLE INC,87.10000
14593,03/02/2007,AAPL,APPLE INC,85.41000
14593,03/05/2007,AAPL,APPLE INC,86.28000
14593,03/06/2007,AAPL,APPLE INC,88.12000
14593,03/07/2007,AAPL,APPLE INC,87.67000
14593,03/08/2007,AAPL,APPLE INC,87.96000
14593,03/09/2007,AAPL,APPLE INC,87.95000
14593,03/12/2007,AAPL,APPLE INC,89.88000
14593,03/13/2007,AAPL,APPLE INC,88.41000
14593,03/14/2007,AAPL,APPLE INC,89.98000
14593,03/15/2007,AAPL,APPLE INC,89.53000
14593,03/16/2007,AAPL,APPLE INC,89.57000
14593,03/19/2007,AAPL,APPLE INC,91.10000
14593,03/20/2007,AAPL,APPLE INC,91.47000
14593,03/21/2007,AAPL,APPLE INC,93.82000
14593,03/22/2007,AAPL,APPLE INC,93.85000
14593,03/23/2007,AAPL,APPLE INC,93.52000
14593,03/26/2007,AAPL,APPLE INC,95.86000
